customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,total_active_services,is_month_to_month,has_auto_payment,support_security_bundle,avg_total_charge_per_month,charge_gap_vs_average,monthly_charge_log,total_charge_log,monthly_x_tenure,charge_per_service,tenure_inverse,has_internet,has_fiber,fiber_no_security,fiber_no_support,fiber_no_security_support,month_to_month_fiber,electronic_check_m2m,short_tenure_high_charge,new_customer,very_low_tenure,very_long_tenure,streaming_count,backup_protection_count,support_count,risk_service_gap_count,contract_commitment_score,payment_risk_score,contract_x_tenure,contract_x_monthly,support_x_fiber,services_x_tenure,is_senior_m2m,dependents_partner_score,paperless_echeck,no_protection_services,internet_service_group,payment_contract_group,tenure_band,tenure_bucket,monthly_charge_band,tenure_charge_band,churn_probability,risk_tier,intervention_candidate,recommended_action,recommendation_rationale,Churn
0668-OGMHD,Female,0,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,1,1,0,0,29.969047619047622,-1.4690476190476218,3.3843902633457743,6.446275220677278,598.5,28.5,0.045454545454545456,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,3,0,0.0,0,21,0,1,0,0,DSL_Month-to-month,Electronic check_Month-to-month,13-24 months,13-24,low,13-24_low,0.19679227402176924,low,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
2812-REYAT,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.05,923.1,1,0,1,0,18.838775510204083,1.2112244897959172,3.0469005601283903,6.828820290893995,982.45,20.05,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,49,20.05,0,49,0,1,0,1,No_One year,Bank transfer (automatic)_One year,49-72 months,49-72,low,49-72_low,0.027504699060384462,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
8779-YIQQA,Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,1,0,0,0,16.67142857142857,3.12857142857143,3.0349529867072724,5.861071083174386,415.8,19.8,0.045454545454545456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,21,19.8,0,21,0,2,0,1,No_One year,Mailed check_One year,13-24 months,13-24,low,13-24_low,0.024310682376208925,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
9701-CDXHR,Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,1,1,0,0,71.56078431372549,-2.410784313725486,4.25063580654847,8.202646816628684,3526.65,69.15,0.019230769230769232,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4,0,2,0,0.0,0,51,0,1,0,1,Fiber optic_Month-to-month,Mailed check_Month-to-month,49-72 months,49-72,high,49-72_high,0.23174074016271082,low,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
7130-CTCUS,Male,1,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,3,1,1,0,51.56875,2.9812499999999957,4.017283516085639,6.716715831568459,872.8,18.183333333333334,0.058823529411764705,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0.0,0,48,1,1,0,0,DSL_Month-to-month,Bank transfer (automatic)_Month-to-month,13-24 months,13-24,moderate,13-24_moderate,0.1874474683902835,low,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
1894-IGFSG,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,3,1,0,0,86.72045454545454,2.529545454545456,4.502583597212991,7.554256245468311,1963.5,29.75,0.043478260869565216,1,1,1,1,1,1,1,0,0,0,0,2,0,0,4,0,3,0,0.0,0,66,0,0,0,1,Fiber optic_Month-to-month,Electronic check_Month-to-month,13-24 months,13-24,premium,13-24_premium,0.45768963204503116,medium,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
0871-URUWO,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,5,1,1,0,104.53846153846153,-2.288461538461533,4.637153231841142,7.215239978730097,1329.25,20.45,0.07142857142857142,1,1,1,1,1,1,0,0,0,0,0,2,1,0,3,0,1,0,0.0,0,65,0,1,0,0,Fiber optic_Month-to-month,Credit card (automatic)_Month-to-month,13-24 months,13-24,premium,13-24_premium,0.6891303589670307,high,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
0057-QBUQH,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,2,0,0,0,24.887209302325584,0.21279069767441783,3.261935314328648,6.976488116663229,1079.3,12.55,0.022727272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,86,50.2,0,86,0,1,1,1,No_Two year,Electronic check_Two year,25-48 months,25-48,low,25-48_low,0.02842898878449552,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
9611-CTWIH,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,3,1,0,0,80.14999999999999,9.300000000000011,4.504797211841304,5.486662412319551,268.35,29.816666666666666,0.25,1,1,1,1,1,1,1,1,1,0,0,2,0,0,4,0,3,0,0.0,0,9,0,0,1,1,Fiber optic_Month-to-month,Electronic check_Month-to-month,0-12 months,0-3,premium,0-3_premium,0.76371364248338,high,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
8058-DMYRU,Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,4,1,0,0,91.32962962962964,-1.279629629629639,4.511408806173617,8.503662057131885,4862.7,22.5125,0.01818181818181818,1,1,1,1,1,1,1,0,0,0,0,1,1,0,3,0,3,0,0.0,0,216,1,0,1,0,Fiber optic_Month-to-month,Electronic check_Month-to-month,49-72 months,49-72,premium,49-72_premium,0.45536555448739285,medium,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
5351-QESIO,Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,0,1,0,0,24.2,0.0,3.2268439945173775,3.2268439945173775,24.2,24.2,0.5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,2,0,0.0,0,0,0,1,0,1,DSL_Month-to-month,Mailed check_Month-to-month,0-12 months,0-3,low,0-3_low,0.5897984254762614,medium,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
4302-ZYFEL,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,1,0,1,0,20.33478260869565,0.2152173913043498,3.070375816549757,7.247151807120597,1417.95,20.55,0.014285714285714285,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,69,20.55,0,69,0,2,0,1,No_One year,Credit card (automatic)_One year,49-72 months,49-72,low,49-72_low,0.02246867286880171,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
6134-KWTBV,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,2,0,1,0,23.058870967741935,0.34112903225806335,3.1945831322991562,7.265884165434008,1450.8,11.7,0.015873015873015872,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,124,46.8,0,124,0,0,0,1,No_Two year,Bank transfer (automatic)_Two year,49-72 months,49-72,low,49-72_low,0.014275888491016589,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
2034-GDRCN,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,3,1,0,0,84.1,6.300000000000011,4.515245478460105,5.1310814471721224,180.8,30.133333333333336,0.3333333333333333,1,1,1,1,1,1,1,1,1,1,0,2,0,0,4,0,3,0,0.0,0,6,0,0,1,1,Fiber optic_Month-to-month,Electronic check_Month-to-month,0-12 months,0-3,premium,0-3_premium,0.7971327369491289,high,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
9544-PYPSJ,Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,5,1,1,0,97.08629032258065,-0.9862903225806576,4.575741375297279,8.702900676147713,5958.2,19.22,0.015873015873015872,1,1,1,1,1,1,0,0,0,0,1,1,2,0,2,0,1,0,0.0,0,310,1,2,0,0,Fiber optic_Month-to-month,Credit card (automatic)_Month-to-month,49-72 months,49-72,premium,49-72_premium,0.24267313079034375,low,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
4208-UFFGW,Male,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,1,1,0,0,42.575,2.375,3.827553848801696,4.456089962973938,89.9,44.95,0.3333333333333333,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,2,0,0.0,0,2,1,0,0,1,DSL_Month-to-month,Mailed check_Month-to-month,0-12 months,0-3,moderate,0-3_moderate,0.4127292125113617,medium,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
9537-JALFH,Male,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.9,1356.7,1,0,1,0,19.66231884057971,0.237681159420287,3.039749158970765,7.213547370606236,1373.1,19.9,0.014285714285714285,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,138,39.8,0,69,0,2,0,1,No_Two year,Bank transfer (automatic)_Two year,49-72 months,49-72,low,49-72_low,0.012537524681306329,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
4415-IJZTP,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,2,1,0,0,74.5,0.0,4.324132656254979,4.324132656254979,74.5,37.25,0.5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,0,3,0,0.0,0,2,0,0,1,1,Fiber optic_Month-to-month,Electronic check_Month-to-month,0-12 months,0-3,high,0-3_high,0.8702278820100362,high,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
4701-MLJPN,Male,0,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.25,1715.65,3,1,0,0,55.343548387096774,-0.09354838709677438,4.029806041084529,7.448129996204678,1712.75,18.416666666666668,0.03125,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,3,0,0.0,0,93,0,0,1,0,DSL_Month-to-month,Electronic check_Month-to-month,25-48 months,25-48,moderate,25-48_moderate,0.15035882112317644,low,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,1
7515-LODFU,Male,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,1,0,1,0,19.656521739130433,0.6434782608695677,3.0587070727153796,7.2132527113039195,1400.7,20.3,0.014285714285714285,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,138,40.6,0,69,0,0,0,1,No_Two year,Credit card (automatic)_Two year,49-72 months,49-72,low,49-72_low,0.011314414929948537,low,False,Technical support outreach,Missing support/security services suggest a service-quality intervention opportunity.,0
4927-WWOOZ,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,4,1,0,0,85.725,5.7250000000000085,4.5266679578331335,5.15010733938285,182.9,22.8625,0.3333333333333333,1,1,1,1,1,1,1,1,1,1,0,1,1,0,3,0,3,0,0.0,0,8,0,1,1,0,Fiber optic_Month-to-month,Electronic check_Month-to-month,0-12 months,0-3,premium,0-3_premium,0.8158282562799415,high,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
4067-HLYQI,Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,1,1,1,0,72.9121212121212,-2.512121212121201,4.268297869345539,7.786177982412396,2323.2000000000003,70.4,0.029411764705882353,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0,33,0,0,0,1,Fiber optic_Month-to-month,Bank transfer (automatic)_Month-to-month,25-48 months,25-48,high,25-48_high,0.33607419117781706,medium,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
6184-DYUOB,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,1,1,0,0,18.416666666666668,1.1833333333333336,3.0252910757955354,4.029806041084529,58.800000000000004,19.6,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0.0,0,3,0,1,0,1,No_Month-to-month,Mailed check_Month-to-month,0-12 months,0-3,low,0-3_low,0.18152584564297414,low,True,Contract migration offer,Month-to-month customers have weaker switching barriers; offer a one-year plan incentive.,0
9209-NWPGU,Male,0,No,No,44,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,65.4,2774.55,4,0,0,1,63.05795454545455,2.342045454545456,4.1956970564823886,7.928604204740065,2877.6000000000004,16.35,0.022222222222222223,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,44,65.4,0,176,0,0,0,0,DSL_One year,Electronic check_One year,25-48 months,25-48,high,25-48_high,0.059651765241111716,low,False,Auto-payment incentive,Electronic-check customers often show elevated churn risk; encourage automated payment.,0
