name,scale,poly,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,test50_accuracy,test50_precision,test50_recall,test50_f1,test50_roc_auc,test50_pr_auc,test50_tn,test50_fp,test50_fn,test50_tp,best_accuracy,best_accuracy_threshold,best_accuracy_f1,best_f1,best_f1_threshold,best_cost,best_cost_threshold,best_cost_recall,estimator
HGB sweep 34 lr=0.04 leaves=10 l2=0.4,False,False,0.7978371980501213,0.6521242544672867,0.51438127090301,0.574534436741488,0.843744647777376,0.6555721672790134,0.8041163946061036,0.6701388888888888,0.516042780748663,0.5830815709969789,0.8433012994394069,0.6575984306313173,940,95,181,193,0.8062455642299503,0.53,0.5700787401574803,0.6332970620239391,0.29,594.0,0.15,0.9010695187165776,"HistGradientBoostingClassifier(l2_regularization=0.4, learning_rate=0.04,
                               max_iter=300, max_leaf_nodes=10,
                               random_state=42)"
HGB sweep 30 lr=0.035 leaves=15 l2=0.4,False,False,0.7978370404459568,0.6511276863464588,0.5163879598662208,0.5754282867324552,0.8424355370800146,0.6531876674754148,0.8041163946061036,0.6644295302013423,0.5294117647058824,0.5892857142857143,0.843436926812886,0.652096813577656,935,100,176,198,0.8062455642299503,0.52,0.5806451612903226,0.6387096774193548,0.28,587.0,0.15,0.9037433155080213,"HistGradientBoostingClassifier(l2_regularization=0.4, learning_rate=0.035,
                               max_iter=300, max_leaf_nodes=15,
                               random_state=42)"
HGB sweep 28 lr=0.035 leaves=12 l2=0.4,False,False,0.7974814854507716,0.6506525485512599,0.5150501672240803,0.5743630795861533,0.8430584838744698,0.6536478632844256,0.8048261178140526,0.6689419795221843,0.5240641711229946,0.5877061469265368,0.8427923738665426,0.6544637054583086,938,97,178,196,0.8048261178140526,0.5,0.5877061469265368,0.6307053941908713,0.25,589.0,0.16,0.8957219251336899,"HistGradientBoostingClassifier(l2_regularization=0.4, learning_rate=0.035,
                               max_iter=300, max_leaf_nodes=12,
                               random_state=42)"
HGB sweep 20 lr=0.026 leaves=18 l2=0.4,False,False,0.7973041807656726,0.6517505598779108,0.5096989966555184,0.5716091418552162,0.8429467711087225,0.6532960603623785,0.8005677785663591,0.6565656565656566,0.5213903743315508,0.5812220566318927,0.8435467204009403,0.6482560429881989,933,102,179,195,0.8069552874378992,0.52,0.5802469135802469,0.6349557522123894,0.3,587.0,0.19,0.8770053475935828,"HistGradientBoostingClassifier(l2_regularization=0.4, learning_rate=0.026,
                               max_iter=300, max_leaf_nodes=18,
                               random_state=42)"
LR poly C=0.08,True,True,0.7971256152472572,0.6504299546684525,0.5110367892976588,0.5720151593556982,0.8347350918309676,0.6476246636833117,0.7977288857345636,0.6488294314381271,0.5187165775401069,0.5765230312035661,0.8389986824769433,0.6498597104381353,930,105,180,194,0.8026969481902059,0.53,0.5709876543209876,0.6204756980351603,0.24,600.0,0.12,0.9144385026737968,"LogisticRegression(C=0.08, max_iter=3000, random_state=42, solver='liblinear')"
HGB sweep 29 lr=0.035 leaves=15 l2=0.1,False,False,0.796771793897882,0.6496413097320966,0.5117056856187291,0.5719665279135955,0.8423130590607956,0.6527989180531582,0.8048261178140526,0.6655518394648829,0.5320855614973262,0.5913818722139673,0.8434730941124804,0.6523903275818699,935,100,175,199,0.8055358410220014,0.51,0.5848484848484848,0.6343612334801763,0.3,596.0,0.14,0.9117647058823529,"HistGradientBoostingClassifier(l2_regularization=0.1, learning_rate=0.035,
                               max_iter=300, max_leaf_nodes=15,
                               random_state=42)"
HGB sweep 31 lr=0.035 leaves=18 l2=0.1,False,False,0.7958841672432352,0.6480401956856426,0.5083612040133779,0.5692376464812311,0.841108385144382,0.6501920465763361,0.8041163946061036,0.6655405405405406,0.5267379679144385,0.5880597014925373,0.8420251104394327,0.6479597721929634,936,99,177,197,0.8076650106458482,0.53,0.5745682888540031,0.6299694189602446,0.24,589.0,0.16,0.8957219251336899,"HistGradientBoostingClassifier(l2_regularization=0.1, learning_rate=0.035,
                               max_iter=300, max_leaf_nodes=18,
                               random_state=42)"
LR poly C=0.12,True,True,0.7944632080958106,0.6430381242642339,0.5083612040133778,0.5674014130866736,0.8329686515193723,0.6449561870605778,0.7977288857345636,0.6498316498316499,0.516042780748663,0.5752608047690015,0.837298819396006,0.6475926092019961,931,104,181,193,0.8026969481902059,0.54,0.5669781931464174,0.6212590299277606,0.24,599.0,0.12,0.9144385026737968,"LogisticRegression(C=0.12, max_iter=3000, random_state=42, solver='liblinear')"
LR poly C=0.2,True,True,0.7941084411214481,0.6403907116410423,0.5123745819397993,0.5689281588027045,0.8306887314263601,0.6416399816903796,0.7963094393186657,0.6464646464646465,0.5133689839572193,0.5722801788375559,0.8351055310134594,0.6436842303581481,930,105,182,192,0.7984386089425124,0.54,0.563076923076923,0.6178861788617886,0.23,611.0,0.11,0.9197860962566845,"LogisticRegression(C=0.2, max_iter=3000, random_state=42, solver='liblinear')"
LR poly C=0.6,True,True,0.7933989071727232,0.6374602319792159,0.517056856187291,0.5704706547086893,0.8258822662725785,0.6341324334447133,0.7991483321504613,0.6472491909385113,0.5347593582887701,0.5856515373352855,0.8301971117827895,0.6358266592110581,926,109,174,200,0.7998580553584103,0.49,0.5924855491329479,0.6106194690265486,0.3,619.0,0.1,0.9197860962566845,"LogisticRegression(C=0.6, max_iter=3000, random_state=42, solver='liblinear')"
LR poly C=0.35,True,True,0.7932211296751306,0.637020339903854,0.5150501672240801,0.5691754346550436,0.8281923760612646,0.6380240896202606,0.7991483321504613,0.6521739130434783,0.5213903743315508,0.5794947994056464,0.8325970704487329,0.6402017154674802,931,104,179,195,0.7991483321504613,0.5,0.5794947994056464,0.6145610278372591,0.27,608.0,0.11,0.9171122994652406,"LogisticRegression(C=0.35, max_iter=3000, random_state=42, solver='liblinear')"
LR poly C=1.0,True,True,0.7930439825941961,0.636131643988292,0.5177257525083612,0.5703753720613532,0.8237014948429451,0.6308467844632808,0.7984386089425124,0.643312101910828,0.5401069518716578,0.5872093023255814,0.8280296571856675,0.6314727525463809,923,112,172,202,0.7991483321504613,0.51,0.5832106038291606,0.6083150984682714,0.29,622.0,0.09,0.9331550802139037,"LogisticRegression(max_iter=3000, random_state=42, solver='liblinear')"
